ID,TARGET
2,0.10200000
5,0.02600000
6,0.00000000
7,0.00000000
9,0.00000000
11,0.05800000
12,0.05400000
15,0.01000000
16,0.01600000
17,0.00600000
19,0.00000000
21,0.00000000
22,0.01800000
24,0.00200000
27,0.00400000
28,0.08200000
30,0.09800000
33,0.00000000
35,0.00400000
37,0.02200000
38,0.00400000
40,0.21260374
41,0.01600000
44,0.00600000
46,0.09000000
47,0.00800000
48,0.00000000
50,0.00200000
52,0.28394340
53,0.00000000
55,0.00000000
57,0.00200000
58,0.01800000
59,0.00000000
62,0.02400000
63,0.00000000
64,0.00800000
65,0.00000000
67,0.00200000
69,0.04800000
70,0.00000000
71,0.21200000
72,0.00400000
73,0.00000000
76,0.00000000
78,0.00000000
79,0.05600000
81,0.01000000
85,0.00000000
86,0.00000000
89,0.02600000
94,0.00000000
96,0.00000000
97,0.03400000
98,0.00000000
99,0.00000000
100,0.05600000
103,0.03400000
104,0.01000000
108,0.00400000
110,0.00000000
112,0.00200000
114,0.19087093
116,0.01600000
117,0.07800000
119,0.00000000
120,0.00000000
121,0.00000000
123,0.02400000
124,0.00355056
126,0.00000000
128,0.00000000
129,0.11400000
133,0.05200000
138,0.00800000
147,0.00000000
149,0.02800000
158,0.00000000
160,0.00000000
164,0.05800000
167,0.04200000
168,0.04200000
174,0.00000000
181,0.02800000
185,0.03000000
187,0.01400000
189,0.01200000
190,0.04200000
194,0.00600000
197,0.06400000
198,0.00000000
201,0.06600000
205,0.00000000
208,0.13400000
211,0.00000000
216,0.00000000
219,0.10400000
223,0.00200000
224,0.00000000
226,0.00000000
229,0.00000000
230,0.02600000
237,0.00400000
238,0.00000000
240,0.04400000
243,0.00000000
245,0.05000000
246,0.64800000
247,0.00200000
248,0.00200000
249,0.00000000
250,0.50800000
251,0.00000000
255,0.14000000
256,0.03600000
257,0.12400000
260,0.01751227
261,0.00400000
263,0.17600000
264,0.60555853
267,0.00200000
268,0.00600000
272,0.00600000
274,0.01200000
275,0.00000000
277,0.87000000
278,0.27600000
280,0.00600000
281,0.04800000
282,0.11200000
283,0.00000000
284,0.09800000
286,0.00336468
290,0.02200000
291,0.01000000
293,0.00200000
295,0.05200000
297,0.00000000
298,0.02200000
300,0.00000000
304,0.01000000
305,0.00200000
308,0.02800000
309,0.00000000
310,0.01000000
312,0.00000000
313,0.06045315
315,0.00400000
317,0.01000000
318,0.00000000
321,0.01200000
323,0.03800000
325,0.00200000
326,0.00200000
327,0.01200000
328,0.04800000
329,0.00000000
330,0.00200000
331,0.00400000
334,0.02600000
335,0.00400000
336,0.04400000
337,0.04000000
338,0.02409781
339,0.00000000
341,0.24200000
343,0.01800000
346,0.00200000
348,0.00000000
350,0.20200000
351,0.00000000
352,0.08105674
357,0.04600000
358,0.00000000
360,0.01000000
361,0.00000000
364,0.02800000
365,0.08800000
366,0.00000000
367,0.00000000
368,0.00000000
370,0.00000000
372,0.00000000
376,0.00000000
377,0.00200000
379,0.03200000
380,0.00000000
381,0.00800000
385,0.00000000
386,0.02000000
389,0.02000000
391,0.02600000
392,0.00200000
393,0.00574684
395,0.05000000
396,0.00000000
397,0.00000000
398,0.00600000
399,0.09800000
400,0.01400000
401,0.02800000
403,0.00200000
405,0.05000000
406,0.00000000
409,0.00000000
411,0.00600000
413,0.00000000
418,0.00000000
419,0.00000000
422,0.08105674
424,0.28800000
425,0.05800000
427,0.00000000
430,0.00000000
431,0.00000000
434,0.00000000
435,0.00200000
437,0.00000000
438,0.00200000
439,0.01000000
442,0.00000000
446,0.00000000
450,0.06800000
451,0.00000000
452,0.00000000
454,0.00000000
455,0.00000000
463,0.00000000
464,0.00000000
465,0.00200000
467,0.27055600
468,0.05600000
470,0.00000000
472,0.25000000
473,0.00000000
475,0.00400000
476,0.00400000
479,0.00000000
481,0.00400000
483,0.00000000
484,0.01800000
486,0.02000000
487,0.00000000
491,0.00000000
494,0.03000000
495,0.00600000
497,0.05200000
498,0.00400000
499,0.00000000
503,0.03800000
504,0.01800000
505,0.00600000
506,0.01200000
507,0.01600000
508,0.01000000
509,0.00000000
510,0.00600000
511,0.00301720
512,0.04600000
516,0.00000000
518,0.02000000
519,0.00000000
520,0.00800000
521,0.00000000
522,0.00400000
524,0.00400000
525,0.00400000
526,0.00000000
528,0.00000000
529,0.03400000
531,0.05600000
532,0.51600000
534,0.11600000
536,0.05000000
539,0.09600000
540,0.01400000
541,0.00000000
542,0.00000000
545,0.00000000
546,0.00000000
552,0.03800000
556,0.00000000
557,0.00000000
559,0.00200000
562,0.02400000
563,0.00200000
565,0.02600000
569,0.00000000
570,0.16955056
574,0.01000000
575,0.01800000
585,0.00000000
589,0.03600000
590,0.03400000
592,0.00000000
593,0.02200000
594,0.00400000
595,0.00000000
597,0.00400000
601,0.00000000
603,0.01600000
604,0.00000000
605,0.01755056
607,0.00000000
608,0.00600000
610,0.00000000
612,0.14800000
613,0.03800000
615,0.00400000
616,0.20200000
617,0.01737435
619,0.00400000
620,0.06563286
621,0.00000000
624,0.02600000
625,0.06800000
628,0.00000000
629,0.00800000
630,0.07511661
632,0.00800000
634,0.00000000
637,0.00000000
638,0.01000000
642,0.08000000
643,0.00400000
644,0.10800000
646,0.00000000
655,0.00800000
660,0.00000000
664,0.02800000
665,0.08200000
666,0.01400000
670,0.08800000
671,0.06200000
672,0.00400000
675,0.00000000
676,0.08600000
677,0.00000000
678,0.00200000
680,0.02000000
683,0.01600000
684,0.00000000
685,0.33600000
691,0.13200000
693,0.00000000
696,0.00000000
698,0.00000000
699,0.00200000
700,0.01000000
703,0.01400000
704,0.01600000
705,0.00000000
707,0.09000000
709,0.08374684
711,0.01406357
713,0.00000000
716,0.00000000
719,0.00000000
721,0.00000000
722,0.00600000
723,0.03200000
724,0.00200000
727,0.00200000
728,0.00000000
729,0.00000000
733,0.02800000
736,0.01400000
739,0.03200000
742,0.25000000
743,0.00600000
744,0.00200000
745,0.01600000
747,0.03200000
749,0.11600000
750,0.00400000
751,0.01400000
752,0.00000000
755,0.00000000
756,0.00000000
762,0.01200000
763,0.00000000
764,0.00000000
765,0.00200000
766,0.04600000
769,0.01200000
770,0.19200000
773,0.00200000
774,0.01800000
776,0.00000000
777,0.00000000
778,0.00400000
779,0.00000000
780,0.00000000
781,0.03200000
786,0.02400000
788,0.00400000
794,0.02400000
796,0.16706977
801,0.09600000
802,0.01000000
803,0.00000000
804,0.00000000
805,0.00000000
809,0.00200000
810,0.02400000
817,0.01600000
819,0.01600000
821,0.00000000
824,0.27000000
825,0.01600000
